iter	Passed	Remaining
0	1	99
1	1	77
2	2	68
3	2	61
4	3	58
5	3	57
6	4	55
7	4	54
8	5	53
9	5	53
10	6	51
11	7	51
12	7	50
13	8	50
14	8	50
15	9	49
16	10	51
17	11	50
18	11	50
19	12	50
20	13	49
21	13	48
22	14	47
23	14	46
24	15	45
25	15	44
26	16	43
27	16	42
28	17	42
29	17	41
30	18	40
31	18	39
32	19	38
33	19	37
34	20	37
35	20	36
36	21	35
37	21	35
38	22	34
39	22	33
40	23	33
41	23	32
42	23	31
43	24	30
44	24	30
45	25	29
46	25	29
47	26	28
48	26	27
49	27	27
50	27	26
51	28	26
52	28	25
53	29	24
54	29	24
55	29	23
56	30	22
57	30	22
58	31	21
59	31	21
60	32	20
61	32	20
62	33	19
63	33	19
64	34	18
65	34	18
66	35	17
67	36	17
68	36	16
69	37	15
70	37	15
71	38	15
72	39	14
73	39	13
74	40	13
75	40	12
76	41	12
77	41	11
78	42	11
79	42	10
80	43	10
81	44	9
82	44	9
83	45	8
84	45	8
85	45	7
86	46	6
87	46	6
88	47	5
89	47	5
90	48	4
91	48	4
92	49	3
93	50	3
94	50	2
95	51	2
96	51	1
97	52	1
98	52	0
99	53	0
